name,class
MH001-20240118.wav,0
MH002-20240118.wav,0
MH003-20240118.wav,0
MH004-20240118.wav,0
MH005-20240118.wav,0
MH006-20240122.wav,0
MH008-20240119.wav,0
MH009-20240119.wav,0
MH010-20240119.wav,0
MH011-20240120.wav,0
MH012-20240120.wav,0
MH013-20240120.wav,0
MH014-20240122.wav,0
MH015-20240123.wav,0
MH016-20240123.wav,0
MY008-20220829.wav,1
MY009-20220829.wav,1
MY010-20220831.wav,1
MY011-20220901.wav,1
MY012-20220901.wav,1
MY016-20220906.wav,1
MY018-20220907.wav,1
MY019-20220908.wav,1
MY026-20220916.wav,1
MY028-20220906.wav,1
MY029-20220922.wav,1
MY030-20220923.wav,1
MY031-20220923.wav,1
MY032-20220923.wav,1
MY034-20220915.wav,1
